01,10,12,13,14,15,16,17,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,70,72,73,75,78,79,80,82,83,87,99
0.7943,-0.2329,-0.3352,-0.312,0.1004,0.6989,0.6429,0.5655,0.9266,0.9643,0.8163,0.9948,0.6021,0.9147,0.8352,0.894,0.9623,0.126,0.9078,1.0,0.3582,0.4386,0.761,0.8651,0.8663,0.5602,0.9372,0.9794,0.1941,0.5462,0.1321,0.6739,-0.1535,0.8167,0.6644,0.8806,0.9057,0.9502,0.9826,0.9879,0.7846,0.9943,0.9495,0.8743,0.9818,0.7675,0.8902,0.9059,0.8937,0.8775,0.7251,0.7303,0.7283,0.9577,0.9276,0.6761,0.7909,0.7099,0.9624,0.9701,0.9773,0.9503,0.8214
0.8267,0.5165,0.4254,0.3491,0.9021,0.8255,0.8667,0.9719,0.6617,0.5295,0.7834,0.4439,0.9477,0.6397,0.7802,0.5952,0.4253,0.8244,0.6005,0.3582,1.0,0.9935,0.8368,0.5914,0.4256,0.9119,0.4181,0.3241,0.9817,0.9587,0.6304,0.913,0.8523,0.5245,0.7794,0.7174,0.6745,0.6052,0.5054,0.4117,0.8221,0.449,0.4699,0.7277,0.4575,0.872,0.6998,0.6648,0.7071,0.6496,0.745,0.5804,0.6009,0.5557,0.4489,0.9159,0.5024,0.8035,0.4292,0.5309,0.5164,0.6056,0.4771
0.88,0.5214,0.4282,0.3632,0.9001,0.8774,0.9176,0.9842,0.7139,0.5872,0.8126,0.5175,0.9746,0.6844,0.8171,0.6323,0.481,0.841,0.6414,0.4386,0.9935,1.0,0.8585,0.6212,0.4562,0.9077,0.4662,0.3896,0.9601,0.9627,0.6701,0.9449,0.8082,0.545,0.8444,0.758,0.7191,0.6616,0.5722,0.4787,0.8489,0.5224,0.5217,0.7936,0.5213,0.911,0.7415,0.7086,0.7512,0.684,0.8099,0.6616,0.6781,0.6118,0.4939,0.9395,0.5188,0.8488,0.4852,0.5943,0.5825,0.6622,0.4991
0.9153,0.0444,-0.0764,-0.1297,0.5525,0.8335,0.8193,0.9343,0.9488,0.892,0.9951,0.8227,0.9021,0.9512,0.9863,0.9339,0.8447,0.4738,0.9394,0.761,0.8368,0.8585,1.0,0.9352,0.8479,0.9588,0.8461,0.775,0.7359,0.9348,0.2979,0.9263,0.4488,0.8841,0.7449,0.9747,0.962,0.9245,0.8673,0.8228,0.9915,0.8259,0.8669,0.8899,0.8507,0.9641,0.9717,0.9588,0.9692,0.958,0.771,0.6353,0.656,0.9052,0.8615,0.9576,0.8634,0.8493,0.8442,0.8771,0.8674,0.9243,0.8685
0.7944,-0.2899,-0.4097,-0.445,0.2232,0.6713,0.6225,0.748,0.9594,0.9602,0.96,0.9042,0.7068,0.9825,0.9444,0.991,0.961,0.1458,0.9937,0.8651,0.5914,0.6212,0.9352,1.0,0.9805,0.8363,0.9726,0.9185,0.4593,0.7625,-0.0026,0.7644,0.1241,0.9732,0.5608,0.9673,0.9751,0.9587,0.9339,0.9303,0.9291,0.9058,0.9663,0.8163,0.9432,0.8462,0.9742,0.9773,0.964,0.992,0.6238,0.5205,0.5402,0.9633,0.9765,0.8149,0.9593,0.7141,0.9573,0.9332,0.9267,0.9579,0.9818
0.6794,-0.4582,-0.5742,-0.6018,0.0294,0.5429,0.4724,0.6046,0.9079,0.9414,0.8864,0.8921,0.5595,0.9434,0.8651,0.9686,0.9687,-0.0473,0.9666,0.8663,0.4256,0.4562,0.8479,0.9805,1.0,0.7239,0.986,0.9416,0.2869,0.6301,-0.1739,0.6332,-0.053,0.9742,0.419,0.9087,0.9263,0.9204,0.9128,0.9324,0.8451,0.8924,0.9666,0.7247,0.9373,0.7319,0.9197,0.932,0.9061,0.9563,0.504,0.4223,0.4421,0.939,0.9856,0.6932,0.9662,0.6021,0.9643,0.9092,0.904,0.9194,0.9897
0.8293,0.1225,0.0283,-0.0359,0.6499,0.7462,0.778,0.9497,0.829,0.7339,0.9331,0.6392,0.8866,0.8327,0.922,0.811,0.6788,0.5453,0.8254,0.5602,0.9119,0.9077,0.9588,0.8363,0.7239,1.0,0.6944,0.5854,0.8403,0.9446,0.3049,0.882,0.609,0.7687,0.6733,0.8719,0.8495,0.7847,0.7027,0.6436,0.9252,0.6452,0.7028,0.7641,0.6781,0.9048,0.8698,0.8425,0.8606,0.8521,0.6562,0.4773,0.4995,0.7532,0.708,0.9211,0.7488,0.7483,0.6728,0.7065,0.6936,0.784,0.78
0.7389,-0.3982,-0.5115,-0.5218,0.0554,0.6102,0.5453,0.6115,0.9427,0.9775,0.8915,0.9536,0.5914,0.963,0.8837,0.9727,0.9959,0.0108,0.9773,0.9372,0.4181,0.4662,0.8461,0.9726,0.986,0.6944,1.0,0.9827,0.2657,0.6213,-0.0774,0.6659,-0.0878,0.9497,0.5149,0.9273,0.9481,0.9587,0.9643,0.9794,0.8506,0.9538,0.9894,0.7967,0.9806,0.767,0.9386,0.9519,0.9298,0.9593,0.5916,0.5355,0.5482,0.9737,0.9956,0.7085,0.935,0.6537,0.9924,0.9563,0.9553,0.958,0.9652
0.7286,-0.3833,-0.4914,-0.4821,0.0011,0.6115,0.5402,0.5357,0.9226,0.9729,0.8313,0.9794,0.5436,0.9317,0.8345,0.933,0.9915,-0.0076,0.9397,0.9794,0.3241,0.3896,0.775,0.9185,0.9416,0.5854,0.9827,1.0,0.1621,0.5358,-0.0382,0.6244,-0.1933,0.8918,0.5398,0.8888,0.9158,0.9483,0.9746,0.9941,0.7914,0.9786,0.9792,0.808,0.9886,0.7287,0.9007,0.9193,0.897,0.9122,0.6194,0.6035,0.6091,0.9654,0.9743,0.6503,0.8738,0.646,0.9899,0.9638,0.9674,0.9479,0.9028
0.7279,0.6053,0.515,0.4213,0.9319,0.7584,0.7903,0.9166,0.5224,0.3838,0.6681,0.2852,0.8912,0.5046,0.6555,0.4678,0.272,0.8426,0.4608,0.1941,0.9817,0.9601,0.7359,0.4593,0.2869,0.8403,0.2657,0.1621,1.0,0.9167,0.652,0.8469,0.934,0.4156,0.6972,0.5952,0.543,0.4624,0.3498,0.2513,0.727,0.2893,0.3281,0.6108,0.3028,0.7771,0.5706,0.535,0.5815,0.5245,0.6703,0.5021,0.5275,0.4124,0.3073,0.8488,0.4002,0.7437,0.2802,0.3895,0.3712,0.4631,0.3391
